year,scope,region,mode,moran_I
2010,regional,CAN,basin,0.716
2010,regional,CHN,basin,0.103
2010,regional,CIS,basin,0.482
2010,regional,IND,basin,0.352
2010,regional,JPN,basin,
2010,regional,TUR,basin,0.44
2010,regional,USA,basin,0.372
2010,regional,XAF,basin,0.353
2010,regional,XE25,basin,0.214
2010,regional,XER,basin,0.282
2010,regional,XLM,basin,0.008
2010,regional,XME,basin,0.21
2010,regional,XNF,basin,-0.0
2010,regional,XOC,basin,
2010,regional,XSA,basin,0.003
2010,regional,XSE,basin,0.393
2010,global,ALL,basin,0.492
2020,regional,BRA,basin,0.512
2020,regional,CAN,basin,0.496
2020,regional,CHN,basin,0.2
2020,regional,CIS,basin,0.436
2020,regional,IND,basin,0.349
2020,regional,JPN,basin,
2020,regional,TUR,basin,0.526
2020,regional,USA,basin,0.271
2020,regional,XAF,basin,0.412
2020,regional,XE25,basin,0.185
2020,regional,XER,basin,0.46
2020,regional,XLM,basin,0.2
2020,regional,XME,basin,0.202
2020,regional,XNF,basin,0.0
2020,regional,XOC,basin,
2020,regional,XSA,basin,0.266
2020,regional,XSE,basin,0.276
2020,global,ALL,basin,0.418
2030,regional,BRA,basin,0.259
2030,regional,CAN,basin,0.462
2030,regional,CHN,basin,0.292
2030,regional,CIS,basin,0.336
2030,regional,IND,basin,0.414
2030,regional,JPN,basin,
2030,regional,TUR,basin,0.603
2030,regional,USA,basin,0.253
2030,regional,XAF,basin,0.349
2030,regional,XE25,basin,0.533
2030,regional,XER,basin,0.233
2030,regional,XLM,basin,-0.0
2030,regional,XME,basin,0.168
2030,regional,XNF,basin,0.112
2030,regional,XOC,basin,
2030,regional,XSA,basin,0.306
2030,regional,XSE,basin,0.455
2030,global,ALL,basin,0.398
2040,regional,BRA,basin,0.297
2040,regional,CAN,basin,0.271
2040,regional,CHN,basin,0.433
2040,regional,CIS,basin,0.269
2040,regional,IND,basin,0.419
2040,regional,JPN,basin,
2040,regional,TUR,basin,0.544
2040,regional,USA,basin,0.404
2040,regional,XAF,basin,0.356
2040,regional,XE25,basin,0.232
2040,regional,XER,basin,0.004
2040,regional,XLM,basin,0.028
2040,regional,XME,basin,0.526
2040,regional,XNF,basin,0.301
2040,regional,XOC,basin,
2040,regional,XSA,basin,0.005
2040,regional,XSE,basin,0.203
2040,global,ALL,basin,0.345
2050,regional,BRA,basin,0.213
2050,regional,CAN,basin,0.232
2050,regional,CHN,basin,0.457
2050,regional,CIS,basin,0.254
2050,regional,IND,basin,0.192
2050,regional,JPN,basin,
2050,regional,TUR,basin,0.385
2050,regional,USA,basin,0.379
2050,regional,XAF,basin,0.34
2050,regional,XE25,basin,0.254
2050,regional,XER,basin,0.105
2050,regional,XLM,basin,0.008
2050,regional,XME,basin,0.11
2050,regional,XNF,basin,0.169
2050,regional,XOC,basin,
2050,regional,XSA,basin,0.0
2050,regional,XSE,basin,-0.0
2050,global,ALL,basin,0.261
2060,regional,BRA,basin,0.229
2060,regional,CAN,basin,0.283
2060,regional,CHN,basin,0.519
2060,regional,CIS,basin,0.212
2060,regional,IND,basin,0.267
2060,regional,JPN,basin,
2060,regional,TUR,basin,0.4
2060,regional,USA,basin,0.383
2060,regional,XAF,basin,0.299
2060,regional,XE25,basin,0.248
2060,regional,XER,basin,0.176
2060,regional,XLM,basin,0.158
2060,regional,XME,basin,0.57
