scenario,region,type,*,year,value
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2015,-28.32357401985397
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2020,-24.90551744263471
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2025,-24.321518408455198
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2030,22.03614074336157
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2040,-29.158803467033508
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2050,-38.089745573124134
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2060,-41.62843043601334
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2070,-55.05161704294086
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2080,-56.19982444240276
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2090,-59.11931538500672
SSP2_BaU_NoCC,XSA,Emi_CO2_AFO,Mt CO2/yr,2100,-65.73266964932225
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2005,-360.1745339497473
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2010,-44.71926129335293
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2015,-86.03634061315961
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2020,533.386710755336
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2025,-67.84487565030003
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2030,562.7749082756343
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2040,75.0806290990422
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2050,-175.15329447490151
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2060,-246.54175258518558
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2070,-263.1544769177408
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2080,-268.23440475405266
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2090,-289.9869062390134
SSP2_BaU_NoCC,XLM,Emi_CO2_AFO,Mt CO2/yr,2100,-361.60869160868106
SSP2_BaU_NoCC,CIS,Emi_CO2_AFO,Mt CO2/yr,2005,-77.56422920374762
SSP2_BaU_NoCC,CIS,Emi_CO2_AFO,Mt CO2/yr,2010,77.29126292064146
SSP2_BaU_NoCC,CIS,Emi_CO2_AFO,Mt CO2/yr,2015,49.12983697899992
SSP2_BaU_NoCC,CIS,Emi_CO2_AFO,Mt CO2/yr,2020,-8.375425714055623
SSP2_BaU_NoCC,CIS,Emi_CO2_AFO,Mt CO2/yr,2025,-49.60059364021489
SSP2_BaU_NoCC,CIS,Emi_CO2_AFO,Mt CO2/yr,2030,23.273449932069397
SSP2_BaU_NoCC,CIS,Emi_CO2_AFO,Mt CO2/yr,2040,-41.31074503264119
SSP2_BaU_NoCC,CIS,Emi_CO2_AFO,Mt CO2/yr,2050,-44.06451506255697
SSP2_BaU_NoCC,CIS,Emi_CO2_AFO,Mt CO2/yr,2060,-59.85699908606061
SSP2_BaU_NoCC,CIS,Emi_CO2_AFO,Mt CO2/yr,2070,-64.90687143072003
SSP2_BaU_NoCC,CIS,Emi_CO2_AFO,Mt CO2/yr,2080,-62.74322769973577
SSP2_BaU_NoCC,CIS,Emi_CO2_AFO,Mt CO2/yr,2090,-32.51125169348798
SSP2_BaU_NoCC,CIS,Emi_CO2_AFO,Mt CO2/yr,2100,-64.81897593568817
SSP2_BaU_NoCC,XME,Emi_CO2_AFO,Mt CO2/yr,2005,-18.669925183891305
SSP2_BaU_NoCC,XME,Emi_CO2_AFO,Mt CO2/yr,2010,-14.010909915923861
SSP2_BaU_NoCC,XME,Emi_CO2_AFO,Mt CO2/yr,2015,-17.912799993333273
SSP2_BaU_NoCC,XME,Emi_CO2_AFO,Mt CO2/yr,2020,-25.102965678783157
SSP2_BaU_NoCC,XME,Emi_CO2_AFO,Mt CO2/yr,2025,-19.645005766590195
SSP2_BaU_NoCC,XME,Emi_CO2_AFO,Mt CO2/yr,2030,-10.624771014751936
SSP2_BaU_NoCC,XME,Emi_CO2_AFO,Mt CO2/yr,2040,-16.62739204210094
SSP2_BaU_NoCC,XME,Emi_CO2_AFO,Mt CO2/yr,2050,-16.03698097951954
SSP2_BaU_NoCC,XME,Emi_CO2_AFO,Mt CO2/yr,2060,-15.097997325801519
SSP2_BaU_NoCC,XME,Emi_CO2_AFO,Mt CO2/yr,2070,-16.185747262460936
SSP2_BaU_NoCC,XME,Emi_CO2_AFO,Mt CO2/yr,2080,-19.15858862264131
SSP2_BaU_NoCC,XME,Emi_CO2_AFO,Mt CO2/yr,2090,-20.008595318201223
