region,mode,year,kappa
XER,basin,2060,0.922
XER,basin,2070,0.922
XER,basin,2080,0.922
XER,basin,2090,0.922
XER,basin,2100,0.922
XLM,region,2010,
XLM,region,2020,
XLM,region,2030,
XLM,region,2040,
XLM,region,2050,
XLM,region,2060,
XLM,region,2070,
XLM,region,2080,
XLM,region,2090,
XLM,region,2100,
XLM,basin,2010,
XLM,basin,2020,
XLM,basin,2030,
XLM,basin,2040,
XLM,basin,2050,
XLM,basin,2060,
XLM,basin,2070,
XLM,basin,2080,
XLM,basin,2090,
XLM,basin,2100,
XME,region,2010,1.000
XME,region,2020,1.000
XME,region,2030,1.000
XME,region,2040,1.000
XME,region,2050,1.000
XME,region,2060,1.000
XME,region,2070,1.000
XME,region,2080,1.000
XME,region,2090,0.660
XME,region,2100,0.660
XME,basin,2010,1.000
XME,basin,2020,1.000
XME,basin,2030,0.658
XME,basin,2040,0.658
XME,basin,2050,0.658
XME,basin,2060,0.658
XME,basin,2070,0.381
XME,basin,2080,0.261
XME,basin,2090,0.261
XME,basin,2100,0.261
XNF,region,2010,0.753
XNF,region,2020,0.136
XNF,region,2030,0.136
XNF,region,2040,0.136
XNF,region,2050,0.136
XNF,region,2060,0.136
XNF,region,2070,0.136
XNF,region,2080,0.136
XNF,region,2090,0.136
XNF,region,2100,0.197
XNF,basin,2010,0.693
XNF,basin,2020,0.693
XNF,basin,2030,0.595
XNF,basin,2040,0.555
XNF,basin,2050,0.519
XNF,basin,2060,0.457
XNF,basin,2070,0.457
XNF,basin,2080,0.457
XNF,basin,2090,0.519
XNF,basin,2100,0.555
XOC,region,2010,
XOC,region,2020,
XOC,region,2030,
XOC,region,2040,
XOC,region,2050,
XOC,region,2060,
XOC,region,2070,
XOC,region,2080,
XOC,region,2090,
XOC,region,2100,
XOC,basin,2010,
XOC,basin,2020,
XOC,basin,2030,
XOC,basin,2040,
XOC,basin,2050,
XOC,basin,2060,
XOC,basin,2070,
XOC,basin,2080,
XOC,basin,2090,
XOC,basin,2100,
XSA,region,2010,1.000
XSA,region,2020,1.000
XSA,region,2030,1.000
XSA,region,2040,1.000
XSA,region,2050,1.000
XSA,region,2060,1.000
XSA,region,2070,1.000
XSA,region,2080,1.000
XSA,region,2090,1.000
XSA,region,2100,1.000
XSA,basin,2010,1.000
XSA,basin,2020,1.000
XSA,basin,2030,1.000
XSA,basin,2040,1.000
XSA,basin,2050,0.793
XSA,basin,2060,0.793
