country,region,2005,2100,rel_change,direction,region_direction
BRA_LAPL,BRA,30169.368249120467,26533.265924752388,-0.12052298524594009,decrease,decrease
BRA_UBSA,BRA,9241.178930493465,8177.76172672439,-0.1150737597191281,decrease,decrease
CAN_MACK,CAN,3262.8321246452115,3540.359583397204,0.08505722885824837,increase,increase
CAN_SNEL,CAN,35004.34366186046,41085.182403603074,0.17371669071938883,increase,increase
CAN_STLA,CAN,4390.601965662386,5215.892624652747,0.18796754190990628,increase,increase
AZE_CSSW,CIS,1667.7373142916583,1772.7667688046276,0.06297721686318371,increase,increase
BLR_DAUG,CIS,613.4666982990436,723.4201541906709,0.17923296602161903,increase,increase
KGZ_SYRD,CIS,1020.5858173269864,1063.333877474773,0.04188580658483769,increase,increase
MDA_BSNC,CIS,38.68109629600641,44.70428083960585,0.15571390473287333,increase,increase
MDA_DNIE,CIS,904.681024821202,916.1348217001316,0.012660591484377993,increase,increase
RUS_OBBB,CIS,26831.927292366763,31701.63915214563,0.18148945495854188,increase,increase
RUS_VOLG,CIS,71846.29031496067,75401.60029461507,0.049484948548750185,increase,increase
IND_GABR,IND,58305.3929180797,68531.17666311354,0.1753831546835004,increase,increase
IND_GODA,IND,21565.73810457761,24127.99379798917,0.11881140728810427,increase,increase
IND_SABA,IND,19501.432758935756,20572.751699626693,0.05493539648772973,increase,increase
TUR_MSEC,TUR,6547.187652063786,5282.907599516159,-0.19310276713225166,decrease,decrease
TUR_TIEU,TUR,3816.985298414698,3382.2804627480305,-0.11388695572058205,decrease,decrease
BDI_CONG,XAF,291.3058285169348,316.4255487501707,0.0862314371158406,increase,increase
BWA_ASII,XAF,62.39680011834479,68.53316535274519,0.09834422955603278,increase,increase
NER_LCHA,XAF,1806.005353595698,2077.293332829955,0.15021438263963702,increase,increase
NER_NIGE,XAF,8711.276901413425,8738.568014009965,0.0031328487092531915,increase,increase
TGO_AFWC,XAF,887.916187457603,904.7515562483565,0.01896053820007347,increase,increase
TGO_VOLT,XAF,807.322887214476,937.4890123198104,0.1612318034912269,increase,increase
UGA_NILE,XAF,7096.460951925489,7164.983813600437,0.009655920343837845,increase,increase
ZMB_CONG,XAF,505.6797447309921,554.5505968007703,0.09664387901432787,increase,increase
CZE_DANU,XE25,768.9258768614134,855.7642286019609,0.11293462003776308,increase,increase
CZE_ELBE,XE25,1912.9697492725045,2196.437827037161,0.14818220616005987,increase,increase
CZE_ODER,XE25,122.23035502725992,134.0641079649173,0.09681517275326744,increase,increase
DEU_DGCO,XE25,949.0901920412084,1016.9920166707732,0.07154412214873732,increase,increase
DEU_ELBE,XE25,2795.380100742937,2905.784919819454,0.039495458613007364,increase,increase
DEU_EWES,XE25,1934.5890339677064,2285.4412199002927,0.18135747684510184,increase,increase
ESP_GUDA,XE25,1608.5927307743686,1692.7273220406416,0.05230322732204006,increase,increase
EST_BSCC,XE25,259.93853841213934,278.5325248984026,0.07153224219789217,increase,increase
FIN_FINL,XE25,1897.992485685489,2031.676638450288,0.07043450054361876,increase,increase
FRA_LOIR,XE25,3403.980013544203,3487.514167537944,0.02454014232203614,increase,increase
GRC_AGBS,XE25,2965.700774516725,3541.6416092977765,0.19420058818135627,increase,increase
HUN_DANU,XE25,3979.287937028093,4143.580886627093,0.04128702225094596,increase,increase
NLD_SCHE,XE25,43.88698029036506,45.520646520131855,0.037224393634698316,increase,increase
POL_PLCO,XE25,761.4652714802878,903.5426575751588,0.18658419683234237,increase,increase
POL_WISL,XE25,5210.44443810637,6206.677972238812,0.19119933932056327,increase,increase
SVN_AGBS,XE25,11.402750030090443,12.331086933161682,0.08141342225528693,increase,increase
SWE_SWED,XE25,2165.2283944439755,2478.5126240116697,0.1446887683403693,increase,increase
MAR_ANIN,XNF,27.427652838313072,22.530032746719677,-0.17856504603091738,decrease,decrease
TUN_ANIN,XNF,150.20236313611116,145.01915202153748,-0.03450818619862013,decrease,decrease
