basin,year,type,Value
AFG_AMDA,2020,AGOFRS,88.4133752333312
AFG_AMDA,2020,PRMGL,3606.105210303388
AFG_AMDA,2020,SECGL,706.4636574287981
AFG_AMDA,2020,MNGPAS,2381.2049640543833
AFG_AMDA,2020,RAN,4257.542209904239
AFG_AMDA,2020,PDRIR,41.072109895474455
AFG_AMDA,2020,WHTIR,346.03850570772227
AFG_AMDA,2020,GROIR,141.3882978131481
AFG_AMDA,2020,OSDIR,16.92316115770914
AFG_AMDA,2020,OTH_AIR,42.5954605713496
AFG_AMDA,2020,PDRRF,7.056347661150883
AFG_AMDA,2020,WHTRF,574.1413799929386
AFG_AMDA,2020,GRORF,47.10526702070646
AFG_AMDA,2020,OSDRF,2.7653705165993716
AFG_AMDA,2020,OTH_ARF,79.76329888820814
AFG_AMDA,2020,CLDEGS,879.2580630866061
AFG_AMDA,2020,NRFABD,0.000272563549776
AFG_AMDA,2020,NRGABD,39.557833020919524
AFG_AMDA,2020,DEF,118.59960014318744
AFG_AMDA,2020,DEG,246.92716859264928
AFG_AMDA,2020,NRGABDCUM,156.05726925666568
AFG_AMDA,2025,FRS,605.2186647009212
AFG_AMDA,2025,GL,4427.694615614877
AFG_AMDA,2025,CL,1319.1609955249628
AFG_AMDA,2025,CROP_FLW,1550.851811929133
AFG_AMDA,2025,PAS,6429.59858736491
AFG_AMDA,2025,OL,169.25458935692458
AFG_AMDA,2025,PRMFRS,453.91875582085305
AFG_AMDA,2025,SECFRS,151.29990888006833
AFG_AMDA,2025,MNGFRS,167.60135458716752
AFG_AMDA,2025,UMNFRS,437.6173101137539
AFG_AMDA,2025,NRMFRS,605.2186112911661
AFG_AMDA,2025,AGOFRS,88.4133752333312
AFG_AMDA,2025,PRMGL,3604.9527967149743
AFG_AMDA,2025,SECGL,822.7418188999025
AFG_AMDA,2025,MNGPAS,2375.4850022074534
AFG_AMDA,2025,RAN,4054.1135851574554
AFG_AMDA,2025,PDRIR,40.856869213005815
AFG_AMDA,2025,WHTIR,346.0180015661304
AFG_AMDA,2025,GROIR,141.38336411926875
AFG_AMDA,2025,OSDIR,16.92314659611929
AFG_AMDA,2025,OTH_AIR,42.592133544701504
AFG_AMDA,2025,PDRRF,7.056303976381345
AFG_AMDA,2025,WHTRF,591.8509536454327
AFG_AMDA,2025,GRORF,48.6110102762946
AFG_AMDA,2025,OSDRF,2.7589500402168015
AFG_AMDA,2025,OTH_ARF,81.11019102600665
AFG_AMDA,2025,CLDEGS,890.0177807608634
AFG_AMDA,2025,NRFABD,41.67347121573979
AFG_AMDA,2025,NRGABD,123.00345972023334
AFG_AMDA,2025,DEF,0.17212566953866923
AFG_AMDA,2025,DEG,7.877762676924181
AFG_AMDA,2025,NRGABDCUM,196.00604691828823
AFG_AMDA,2030,FRS,429.61905713522
AFG_AMDA,2030,GL,4063.6546304751328
AFG_AMDA,2030,CL,1333.9114323727279
AFG_AMDA,2030,CROP_FLW,1435.0506890239315
AFG_AMDA,2030,PAS,7055.664366682076
AFG_AMDA,2030,SL,14.624592257932097
AFG_AMDA,2030,OL,169.25449425479138
AFG_AMDA,2030,PRMFRS,339.43871008180304
AFG_AMDA,2030,SECFRS,90.180347053417
AFG_AMDA,2030,MNGFRS,40.24560227885426
AFG_AMDA,2030,UMNFRS,389.3734548563658
AFG_AMDA,2030,NRMFRS,429.6191153543759
AFG_AMDA,2030,AGOFRS,88.4133752333312
AFG_AMDA,2030,PRMGL,3352.486455379306
AFG_AMDA,2030,SECGL,711.168175095825
AFG_AMDA,2030,MNGPAS,3001.8179341927853
AFG_AMDA,2030,RAN,4053.846432489291
AFG_AMDA,2030,PDRIR,40.801561568837734
AFG_AMDA,2030,WHTIR,345.8819149601667
AFG_AMDA,2030,GROIR,141.33218552075454
AFG_AMDA,2030,OSDIR,16.92304466499037
AFG_AMDA,2030,OTH_AIR,42.58362688295711
AFG_AMDA,2030,PDRRF,7.055687429663807
AFG_AMDA,2030,WHTRF,598.3339658731323
AFG_AMDA,2030,GRORF,48.52608512987138
AFG_AMDA,2030,OSDRF,2.4250852683231616
AFG_AMDA,2030,OTH_ARF,90.04832039358575
AFG_AMDA,2030,CLDEGS,900.5788844565196
AFG_AMDA,2030,NRGABD,27.918465195812455
AFG_AMDA,2030,DEF,175.59954934654547
AFG_AMDA,2030,DEG,391.9585565908965
AFG_AMDA,2030,NRGABDCUM,203.3510190527512
AFG_AMDA,2040,FRS,498.88270210463503
AFG_AMDA,2040,GL,4214.181219185041
AFG_AMDA,2040,CL,1487.479968931492
AFG_AMDA,2040,CROP_FLW,1460.9745546381582
AFG_AMDA,2040,PAS,6652.938405023066
AFG_AMDA,2040,SL,18.06758625085869
AFG_AMDA,2040,OL,169.2547497033281
AFG_AMDA,2040,PRMFRS,339.4387800123592
AFG_AMDA,2040,SECFRS,159.4439220922758
AFG_AMDA,2040,MNGFRS,109.5092138642336
AFG_AMDA,2040,UMNFRS,389.37348824040146
AFG_AMDA,2040,NRMFRS,498.8826602525708
AFG_AMDA,2040,AGOFRS,88.4133752333312
AFG_AMDA,2040,PRMGL,3308.036355369737
AFG_AMDA,2040,SECGL,906.144863815305
AFG_AMDA,2040,MNGPAS,2981.083611949696
AFG_AMDA,2040,RAN,3671.8547930733707
AFG_AMDA,2040,PDRIR,40.667256670340834
AFG_AMDA,2040,WHTIR,344.48203683965534
AFG_AMDA,2040,GROIR,140.79419296908577
AFG_AMDA,2040,OSDIR,16.922884487502063
AFG_AMDA,2040,OTH_AIR,42.49682325157597
AFG_AMDA,2040,PDRRF,15.396058318752354
AFG_AMDA,2040,WHTRF,696.536965975427
AFG_AMDA,2040,GRORF,52.101811596258656
AFG_AMDA,2040,OSDRF,2.8472963018724737
AFG_AMDA,2040,OTH_ARF,135.23545125161564
AFG_AMDA,2040,CLDEGS,972.7378609891258
AFG_AMDA,2040,NRFABD,69.26360311735074
AFG_AMDA,2040,NRGABD,195.73404797644426
AFG_AMDA,2040,DEG,45.2079426095167
AFG_AMDA,2040,NRGABDCUM,270.7532834502298
AFG_AMDA,2050,FRS,466.1853906810031
AFG_AMDA,2050,GL,4194.913265261424
AFG_AMDA,2050,CL,1602.3474005645837
AFG_AMDA,2050,CROP_FLW,1295.315479397799
AFG_AMDA,2050,PAS,6750.8005354792695
AFG_AMDA,2050,SL,22.96270249334705
AFG_AMDA,2050,OL,169.25457787412952
AFG_AMDA,2050,PRMFRS,339.4145256088655
AFG_AMDA,2050,SECFRS,126.77086507213748
AFG_AMDA,2050,MNGFRS,76.83937646236191
AFG_AMDA,2050,UMNFRS,389.34601421864113
AFG_AMDA,2050,NRMFRS,466.18557791951827
AFG_AMDA,2050,AGOFRS,88.4133752333312
AFG_AMDA,2050,PRMGL,3293.042253598285
AFG_AMDA,2050,SECGL,901.8710116631397
AFG_AMDA,2050,MNGPAS,3085.349169165821
AFG_AMDA,2050,RAN,3665.451366313447
AFG_AMDA,2050,PDRIR,40.64699579665138
AFG_AMDA,2050,WHTIR,344.2758478443115
AFG_AMDA,2050,GROIR,140.71336305349243
AFG_AMDA,2050,OSDIR,16.922811679552833
AFG_AMDA,2050,OTH_AIR,42.48265784196523
AFG_AMDA,2050,PDRRF,17.105953511777656
AFG_AMDA,2050,WHTRF,778.0024882367113
AFG_AMDA,2050,GRORF,59.74426395246179
AFG_AMDA,2050,OSDRF,3.0530313072219135
AFG_AMDA,2050,OTH_ARF,159.40032992264383
AFG_AMDA,2050,CLDEGS,1035.9599425563397
AFG_AMDA,2050,NRGABD,60.722807405347616
AFG_AMDA,2050,DEF,32.69712418511677
AFG_AMDA,2050,DEG,79.99130576137627
AFG_AMDA,2050,NRGABDCUM,325.48864878585954
AFG_AMDA,2060,FRS,565.5609157746633
AFG_AMDA,2060,GL,4308.762885358394
AFG_AMDA,2060,CL,1825.7600766891078
AFG_AMDA,2060,CROP_FLW,1504.386555538793
AFG_AMDA,2060,PAS,6100.306074044336
AFG_AMDA,2060,SL,27.748086648398473
