basin,region,2005,2100,rel_change
BRA_LAPL,BRA,30169.368249120467,26533.265924752388,-0.12052298524594009
BRA_SAOF,BRA,8320.788303664007,8484.369479950248,0.019659336389342988
BRA_UBSA,BRA,9241.178930493465,8177.76172672439,-0.1150737597191281
CAN_MACK,CAN,3262.8321246452115,3540.359583397204,0.08505722885824837
CAN_SNEL,CAN,35004.34366186046,41085.182403603074,0.17371669071938883
CAN_STLA,CAN,4390.601965662386,5215.892624652747,0.18796754190990628
ARM_CSSW,CIS,270.1771006461795,263.3637983680002,-0.02521791173968491
AZE_CSSW,CIS,1667.7373142916583,1772.7667688046276,0.06297721686318371
BLR_DAUG,CIS,613.4666982990436,723.4201541906709,0.17923296602161903
KGZ_SYRD,CIS,1020.5858173269864,1063.333877474773,0.04188580658483769
MDA_BSNC,CIS,38.68109629600641,44.70428083960585,0.15571390473287333
MDA_DANU,CIS,464.9503159956036,463.4961028242256,-0.0031276743371258433
MDA_DNIE,CIS,904.681024821202,916.1348217001316,0.012660591484377993
RUS_AMUR,CIS,3877.016091417987,3254.203276840792,-0.16064230838655252
RUS_OBBB,CIS,26831.927292366763,31701.63915214563,0.18148945495854188
RUS_VOLG,CIS,71846.29031496067,75401.60029461507,0.049484948548750185
UZB_CSEC,CIS,104.18754261506162,92.04669196054373,-0.11652881284832971
IND_GABR,IND,58305.3929180797,68531.17666311354,0.1753831546835004
IND_GODA,IND,21565.73810457761,24127.99379798917,0.11881140728810427
IND_KRIS,IND,35066.95987210476,34524.565660646454,-0.01546738620731621
IND_SABA,IND,19501.432758935756,20572.751699626693,0.05493539648772973
TUR_MSEC,TUR,6547.187652063786,5282.907599516159,-0.19310276713225166
TUR_TIEU,TUR,3816.985298414698,3382.2804627480305,-0.11388695572058205
BDI_CONG,XAF,291.3058285169348,316.4255487501707,0.0862314371158406
BDI_NILE,XAF,556.8755957759097,541.1556836032674,-0.02822876831357507
BEN_AFWC,XAF,1011.2057748897752,891.1020178445033,-0.11877281561051568
BWA_ASII,XAF,62.39680011834479,68.53316535274519,0.09834422955603278
CAF_CONG,XAF,704.6069833924959,653.272457035031,-0.07285554581123038
KEN_AECC,XAF,1685.3258915503316,1541.4620066663772,-0.0853626503961284
KEN_NILE,XAF,1266.2860474177928,1101.199577684791,-0.1303705983886072
KEN_SHJU,XAF,401.9595030234721,399.1963607484942,-0.006874180742572326
MOZ_AECC,XAF,2975.711656199111,2580.792401268726,-0.13271422118728307
MRT_ANWC,XAF,8.945035059201825,7.857280663127385,-0.12160426302135711
NER_LCHA,XAF,1806.005353595698,2077.293332829955,0.15021438263963702
NER_NIGE,XAF,8711.276901413425,8738.568014009965,0.0031328487092531915
SEN_AFWC,XAF,1303.481041827006,1257.1325275949432,-0.03555749009367952
SEN_SENE,XAF,320.6390184117173,314.1027162154231,-0.02038523642154267
TGO_AFWC,XAF,887.916187457603,904.7515562483565,0.01896053820007347
TGO_VOLT,XAF,807.322887214476,937.4890123198104,0.1612318034912269
UGA_NILE,XAF,7096.460951925489,7164.983813600437,0.009655920343837845
ZAF_LIMP,XAF,1423.5363632887486,1168.6625888088051,-0.1790426862655739
ZAF_SAWC,XAF,977.9597265618374,970.6853572137336,-0.007438311773510318
ZMB_CONG,XAF,505.6797447309921,554.5505968007703,0.09664387901432787
ZWE_AIOC,XAF,1089.5035918769988,1057.9067148820386,-0.029001168266480932
CZE_DANU,XE25,768.9258768614134,855.7642286019609,0.11293462003776308
CZE_ELBE,XE25,1912.9697492725045,2196.437827037161,0.14818220616005987
CZE_ODER,XE25,122.23035502725992,134.0641079649173,0.09681517275326744
DEU_DANU,XE25,1284.2633130168344,1175.6081500740756,-0.08460505088128646
DEU_DGCO,XE25,949.0901920412084,1016.9920166707732,0.07154412214873732
DEU_ELBE,XE25,2795.380100742937,2905.784919819454,0.039495458613007364
DEU_EWES,XE25,1934.5890339677064,2285.4412199002927,0.18135747684510184
DEU_RHIN,XE25,2579.254521997993,2484.213624386456,-0.03684820431677071
ESP_GUAD,XE25,1549.1835499836675,1277.97187982512,-0.17506748645853287
ESP_GUDA,XE25,1608.5927307743686,1692.7273220406416,0.05230322732204006
ESP_SSEC,XE25,2080.664353860572,1827.1254170648351,-0.12185479908150866
EST_BSCC,XE25,259.93853841213934,278.5325248984026,0.07153224219789217
FIN_FINL,XE25,1897.992485685489,2031.676638450288,0.07043450054361876
FRA_LOIR,XE25,3403.980013544203,3487.514167537944,0.02454014232203614
GRC_AGBS,XE25,2965.700774516725,3541.6416092977765,0.19420058818135627
HUN_DANU,XE25,3979.287937028093,4143.580886627093,0.04128702225094596
LTU_BSCC,XE25,442.4962266766305,411.0838609420322,-0.07098900248375226
LTU_NEMA,XE25,1131.7487595498244,1096.09762405521,-0.031500927386742074
NLD_SCHE,XE25,43.88698029036506,45.520646520131855,0.037224393634698316
POL_PLCO,XE25,761.4652714802878,903.5426575751588,0.18658419683234237
POL_WISL,XE25,5210.44443810637,6206.677972238812,0.19119933932056327
SVN_AGBS,XE25,11.402750030090443,12.331086933161682,0.08141342225528693
SVN_DANU,XE25,84.28090100865533,81.20772318357083,-0.03646351413315925
SWE_SWED,XE25,2165.2283944439755,2478.5126240116697,0.1446887683403693
EGY_NILE,XNF,2690.193517471589,2783.1689605634165,0.03456087544929166
MAR_ANIN,XNF,27.427652838313072,22.530032746719677,-0.17856504603091738
TUN_ANIN,XNF,150.20236313611116,145.01915202153748,-0.03450818619862013
