scenario,year,region,type,value
SSP2_1000C_CACN_NoCC,1970,XME,OTH,281021.7655625
SSP2_1000C_CACN_NoCC,1970,XME,URB,2128.071955810547
SSP2_1000C_CACN_NoCC,1970,XNF,OTH,456890.6350624999
SSP2_1000C_CACN_NoCC,1970,XNF,URB,927.4797019042969
SSP2_1000C_CACN_NoCC,1970,XAF,OTH,399410.63371875
SSP2_1000C_CACN_NoCC,1970,XAF,URB,2896.931178625107
SSP2_1000C_CACN_NoCC,1970,ASIA2,OTH,312611.42105468747
SSP2_1000C_CACN_NoCC,1970,ASIA2,URB,16641.596986114502
SSP2_1000C_CACN_NoCC,1970,World,OTH,2111196.772609375
SSP2_1000C_CACN_NoCC,1970,World,URB,61494.25336591386
SSP2_1000C_CACN_NoCC,1970,Non-OECD,OTH,1776092.664609375
SSP2_1000C_CACN_NoCC,1970,Non-OECD,URB,35401.19061899567
SSP2_1000C_CACN_NoCC,1970,Industrial,OTH,321872.108
SSP2_1000C_CACN_NoCC,1970,Industrial,URB,24181.440413742544
SSP2_1000C_CACN_NoCC,1970,Transition,OTH,520635.75745312497
SSP2_1000C_CACN_NoCC,1970,Transition,URB,22567.039569885255
SSP2_1000C_CACN_NoCC,1970,Developing,OTH,1268688.90715625
SSP2_1000C_CACN_NoCC,1970,Developing,URB,14745.773382286072
SSP2_1000C_CACN_NoCC,1970,R5ASIA,OTH,312611.42105468747
SSP2_1000C_CACN_NoCC,1970,R5ASIA,URB,14931.307018096923
SSP2_1000C_CACN_NoCC,1970,R5OECD90+EU,OTH,335104.108
SSP2_1000C_CACN_NoCC,1970,R5OECD90+EU,URB,26093.062746918204
SSP2_1000C_CACN_NoCC,1970,R5REF,OTH,253974.9918984375
SSP2_1000C_CACN_NoCC,1970,R5REF,URB,5880.5270887603765
SSP2_1000C_CACN_NoCC,1970,R5MAF,OTH,1137323.0343437498
SSP2_1000C_CACN_NoCC,1970,R5MAF,URB,5952.48283633995
SSP2_1000C_CACN_NoCC,1970,R5LAM,OTH,72183.21731250001
SSP2_1000C_CACN_NoCC,1970,R5LAM,URB,8636.873675798419
SSP2_1000C_CACN_NoCC,1971,USA,OTH,33613.452
SSP2_1000C_CACN_NoCC,1971,USA,URB,11695.345311309815
SSP2_1000C_CACN_NoCC,1971,XE25,OTH,3206.0
SSP2_1000C_CACN_NoCC,1971,XE25,URB,9106.496241195679
SSP2_1000C_CACN_NoCC,1971,XER,OTH,13232.0
SSP2_1000C_CACN_NoCC,1971,XER,URB,1090.242361709595
SSP2_1000C_CACN_NoCC,1971,TUR,URB,821.3799714660644
SSP2_1000C_CACN_NoCC,1971,XOC,OTH,1467.0
SSP2_1000C_CACN_NoCC,1971,XOC,URB,883.3264156804086
SSP2_1000C_CACN_NoCC,1971,CHN,OTH,239998.39534375
SSP2_1000C_CACN_NoCC,1971,CHN,URB,8006.078889526368
SSP2_1000C_CACN_NoCC,1971,IND,OTH,13430.3702109375
SSP2_1000C_CACN_NoCC,1971,IND,URB,3026.2728974914553
SSP2_1000C_CACN_NoCC,1971,JPN,URB,1710.2899680175783
SSP2_1000C_CACN_NoCC,1971,XSE,OTH,14506.901
SSP2_1000C_CACN_NoCC,1971,XSE,URB,3032.1656320037837
SSP2_1000C_CACN_NoCC,1971,XSA,OTH,44675.7545
SSP2_1000C_CACN_NoCC,1971,XSA,URB,866.7895990753174
SSP2_1000C_CACN_NoCC,1971,CAN,OTH,283585.656
SSP2_1000C_CACN_NoCC,1971,CAN,URB,785.9824775390625
SSP2_1000C_CACN_NoCC,1971,BRA,URB,3742.538360931397
SSP2_1000C_CACN_NoCC,1971,XLM,OTH,72183.21731250001
SSP2_1000C_CACN_NoCC,1971,XLM,URB,4894.335314867021
SSP2_1000C_CACN_NoCC,1971,CIS,OTH,253974.9918984375
SSP2_1000C_CACN_NoCC,1971,CIS,URB,5880.5270887603765
SSP2_1000C_CACN_NoCC,1971,XME,OTH,281021.7655625
SSP2_1000C_CACN_NoCC,1971,XME,URB,2128.071955810547
SSP2_1000C_CACN_NoCC,1971,XNF,OTH,456890.6350624999
SSP2_1000C_CACN_NoCC,1971,XNF,URB,927.4797019042969
SSP2_1000C_CACN_NoCC,1971,XAF,OTH,399410.63371875
SSP2_1000C_CACN_NoCC,1971,XAF,URB,2896.931178625107
SSP2_1000C_CACN_NoCC,1971,ASIA2,OTH,312611.42105468747
SSP2_1000C_CACN_NoCC,1971,ASIA2,URB,16641.596986114502
SSP2_1000C_CACN_NoCC,1971,World,OTH,2111196.772609375
SSP2_1000C_CACN_NoCC,1971,World,URB,61494.25336591386
SSP2_1000C_CACN_NoCC,1971,Non-OECD,OTH,1776092.664609375
SSP2_1000C_CACN_NoCC,1971,Non-OECD,URB,35401.19061899567
SSP2_1000C_CACN_NoCC,1971,Industrial,OTH,321872.108
SSP2_1000C_CACN_NoCC,1971,Industrial,URB,24181.440413742544
SSP2_1000C_CACN_NoCC,1971,Transition,OTH,520635.75745312497
SSP2_1000C_CACN_NoCC,1971,Transition,URB,22567.039569885255
SSP2_1000C_CACN_NoCC,1971,Developing,OTH,1268688.90715625
SSP2_1000C_CACN_NoCC,1971,Developing,URB,14745.773382286072
SSP2_1000C_CACN_NoCC,1971,R5ASIA,OTH,312611.42105468747
SSP2_1000C_CACN_NoCC,1971,R5ASIA,URB,14931.307018096923
SSP2_1000C_CACN_NoCC,1971,R5OECD90+EU,OTH,335104.108
SSP2_1000C_CACN_NoCC,1971,R5OECD90+EU,URB,26093.062746918204
SSP2_1000C_CACN_NoCC,1971,R5REF,OTH,253974.9918984375
SSP2_1000C_CACN_NoCC,1971,R5REF,URB,5880.5270887603765
SSP2_1000C_CACN_NoCC,1971,R5MAF,OTH,1137323.0343437498
SSP2_1000C_CACN_NoCC,1971,R5MAF,URB,5952.48283633995
SSP2_1000C_CACN_NoCC,1971,R5LAM,OTH,72183.21731250001
SSP2_1000C_CACN_NoCC,1971,R5LAM,URB,8636.873675798419
SSP2_1000C_CACN_NoCC,1975,USA,OTH,33613.452
SSP2_1000C_CACN_NoCC,1975,USA,URB,11695.345311309815
SSP2_1000C_CACN_NoCC,1975,XE25,OTH,3206.0
SSP2_1000C_CACN_NoCC,1975,XE25,URB,9106.496241195679
SSP2_1000C_CACN_NoCC,1975,XER,OTH,13232.0
SSP2_1000C_CACN_NoCC,1975,XER,URB,1090.242361709595
SSP2_1000C_CACN_NoCC,1975,TUR,URB,821.3799714660644
SSP2_1000C_CACN_NoCC,1975,XOC,OTH,1467.0
SSP2_1000C_CACN_NoCC,1975,XOC,URB,883.3264156804086
SSP2_1000C_CACN_NoCC,1975,CHN,OTH,239998.39534375
SSP2_1000C_CACN_NoCC,1975,CHN,URB,8006.078889526368
SSP2_1000C_CACN_NoCC,1975,IND,OTH,13430.3702109375
SSP2_1000C_CACN_NoCC,1975,IND,URB,3026.2728974914553
SSP2_1000C_CACN_NoCC,1975,JPN,URB,1710.2899680175783
SSP2_1000C_CACN_NoCC,1975,XSE,OTH,14506.901
SSP2_1000C_CACN_NoCC,1975,XSE,URB,3032.1656320037837
SSP2_1000C_CACN_NoCC,1975,XSA,OTH,44675.7545
SSP2_1000C_CACN_NoCC,1975,XSA,URB,866.7895990753174
SSP2_1000C_CACN_NoCC,1975,CAN,OTH,283585.656
SSP2_1000C_CACN_NoCC,1975,CAN,URB,785.9824775390625
SSP2_1000C_CACN_NoCC,1975,BRA,URB,3742.538360931397
SSP2_1000C_CACN_NoCC,1975,XLM,OTH,72183.21731250001
SSP2_1000C_CACN_NoCC,1975,XLM,URB,4894.335314867021
SSP2_1000C_CACN_NoCC,1975,CIS,OTH,253974.9918984375
SSP2_1000C_CACN_NoCC,1975,CIS,URB,5880.5270887603765
SSP2_1000C_CACN_NoCC,1975,XME,OTH,281021.7655625
SSP2_1000C_CACN_NoCC,1975,XME,URB,2128.071955810547
SSP2_1000C_CACN_NoCC,1975,XNF,OTH,456890.6350624999
SSP2_1000C_CACN_NoCC,1975,XNF,URB,927.4797019042969
SSP2_1000C_CACN_NoCC,1975,XAF,OTH,399410.63371875
SSP2_1000C_CACN_NoCC,1975,XAF,URB,2896.931178625107
SSP2_1000C_CACN_NoCC,1975,ASIA2,OTH,312611.42105468747
SSP2_1000C_CACN_NoCC,1975,ASIA2,URB,16641.596986114502
SSP2_1000C_CACN_NoCC,1975,World,OTH,2111196.772609375
SSP2_1000C_CACN_NoCC,1975,World,URB,61494.25336591386
SSP2_1000C_CACN_NoCC,1975,Non-OECD,OTH,1776092.664609375
SSP2_1000C_CACN_NoCC,1975,Non-OECD,URB,35401.19061899567
SSP2_1000C_CACN_NoCC,1975,Industrial,OTH,321872.108
SSP2_1000C_CACN_NoCC,1975,Industrial,URB,24181.440413742544
SSP2_1000C_CACN_NoCC,1975,Transition,OTH,520635.75745312497
SSP2_1000C_CACN_NoCC,1975,Transition,URB,22567.039569885255
SSP2_1000C_CACN_NoCC,1975,Developing,OTH,1268688.90715625
SSP2_1000C_CACN_NoCC,1975,Developing,URB,14745.773382286072
SSP2_1000C_CACN_NoCC,1975,R5ASIA,OTH,312611.42105468747
SSP2_1000C_CACN_NoCC,1975,R5ASIA,URB,14931.307018096923
SSP2_1000C_CACN_NoCC,1975,R5OECD90+EU,OTH,335104.108
SSP2_1000C_CACN_NoCC,1975,R5OECD90+EU,URB,26093.062746918204
SSP2_1000C_CACN_NoCC,1975,R5REF,OTH,253974.9918984375
SSP2_1000C_CACN_NoCC,1975,R5REF,URB,5880.5270887603765
SSP2_1000C_CACN_NoCC,1975,R5MAF,OTH,1137323.0343437498
SSP2_1000C_CACN_NoCC,1975,R5MAF,URB,5952.48283633995
SSP2_1000C_CACN_NoCC,1975,R5LAM,OTH,72183.21731250001
SSP2_1000C_CACN_NoCC,1975,R5LAM,URB,8636.873675798419
SSP2_1000C_CACN_NoCC,1980,USA,OTH,33613.452
SSP2_1000C_CACN_NoCC,1980,USA,URB,11695.345311309815
SSP2_1000C_CACN_NoCC,1980,XE25,OTH,3206.0
SSP2_1000C_CACN_NoCC,1980,XE25,URB,9106.496241195679
SSP2_1000C_CACN_NoCC,1980,XER,OTH,13232.0
SSP2_1000C_CACN_NoCC,1980,XER,URB,1090.242361709595
SSP2_1000C_CACN_NoCC,1980,TUR,URB,821.3799714660644
SSP2_1000C_CACN_NoCC,1980,XOC,OTH,1467.0
SSP2_1000C_CACN_NoCC,1980,XOC,URB,883.3264156804086
SSP2_1000C_CACN_NoCC,1980,CHN,OTH,239998.39534375
SSP2_1000C_CACN_NoCC,1980,CHN,URB,8006.078889526368
SSP2_1000C_CACN_NoCC,1980,IND,OTH,13430.3702109375
SSP2_1000C_CACN_NoCC,1980,IND,URB,3026.2728974914553
SSP2_1000C_CACN_NoCC,1980,JPN,URB,1710.2899680175783
SSP2_1000C_CACN_NoCC,1980,XSE,OTH,14506.901
SSP2_1000C_CACN_NoCC,1980,XSE,URB,3032.1656320037837
SSP2_1000C_CACN_NoCC,1980,XSA,OTH,44675.7545
SSP2_1000C_CACN_NoCC,1980,XSA,URB,866.7895990753174
SSP2_1000C_CACN_NoCC,1980,CAN,OTH,283585.656
SSP2_1000C_CACN_NoCC,1980,CAN,URB,785.9824775390625
SSP2_1000C_CACN_NoCC,1980,BRA,URB,3742.538360931397
SSP2_1000C_CACN_NoCC,1980,XLM,OTH,72183.21731250001
SSP2_1000C_CACN_NoCC,1980,XLM,URB,4894.335314867021
SSP2_1000C_CACN_NoCC,1980,CIS,OTH,253974.9918984375
SSP2_1000C_CACN_NoCC,1980,CIS,URB,5880.5270887603765
SSP2_1000C_CACN_NoCC,1980,XME,OTH,281021.7655625
SSP2_1000C_CACN_NoCC,1980,XME,URB,2128.071955810547
SSP2_1000C_CACN_NoCC,1980,XNF,OTH,456890.6350624999
SSP2_1000C_CACN_NoCC,1980,XNF,URB,927.4797019042969
SSP2_1000C_CACN_NoCC,1980,XAF,OTH,399410.63371875
SSP2_1000C_CACN_NoCC,1980,XAF,URB,2896.931178625107
SSP2_1000C_CACN_NoCC,1980,ASIA2,OTH,312611.42105468747
SSP2_1000C_CACN_NoCC,1980,ASIA2,URB,16641.596986114502
SSP2_1000C_CACN_NoCC,1980,World,OTH,2111196.772609375
SSP2_1000C_CACN_NoCC,1980,World,URB,61494.25336591386
SSP2_1000C_CACN_NoCC,1980,Non-OECD,OTH,1776092.664609375
SSP2_1000C_CACN_NoCC,1980,Non-OECD,URB,35401.19061899567
SSP2_1000C_CACN_NoCC,1980,Industrial,OTH,321872.108
SSP2_1000C_CACN_NoCC,1980,Industrial,URB,24181.440413742544
SSP2_1000C_CACN_NoCC,1980,Transition,OTH,520635.75745312497
SSP2_1000C_CACN_NoCC,1980,Transition,URB,22567.039569885255
SSP2_1000C_CACN_NoCC,1980,Developing,OTH,1268688.90715625
SSP2_1000C_CACN_NoCC,1980,Developing,URB,14745.773382286072
SSP2_1000C_CACN_NoCC,1980,R5ASIA,OTH,312611.42105468747
SSP2_1000C_CACN_NoCC,1980,R5ASIA,URB,14931.307018096923
SSP2_1000C_CACN_NoCC,1980,R5OECD90+EU,OTH,335104.108
SSP2_1000C_CACN_NoCC,1980,R5OECD90+EU,URB,26093.062746918204
SSP2_1000C_CACN_NoCC,1980,R5REF,OTH,253974.9918984375
SSP2_1000C_CACN_NoCC,1980,R5REF,URB,5880.5270887603765
SSP2_1000C_CACN_NoCC,1980,R5MAF,OTH,1137323.0343437498
SSP2_1000C_CACN_NoCC,1980,R5MAF,URB,5952.48283633995
SSP2_1000C_CACN_NoCC,1980,R5LAM,OTH,72183.21731250001
SSP2_1000C_CACN_NoCC,1980,R5LAM,URB,8636.873675798419
SSP2_1000C_CACN_NoCC,1985,USA,OTH,33613.452
SSP2_1000C_CACN_NoCC,1985,USA,URB,11695.345311309815
SSP2_1000C_CACN_NoCC,1985,XE25,OTH,3206.0
SSP2_1000C_CACN_NoCC,1985,XE25,URB,9106.496241195679
SSP2_1000C_CACN_NoCC,1985,XER,OTH,13232.0
SSP2_1000C_CACN_NoCC,1985,XER,URB,1090.242361709595
SSP2_1000C_CACN_NoCC,1985,TUR,URB,821.3799714660644
SSP2_1000C_CACN_NoCC,1985,XOC,OTH,1467.0
SSP2_1000C_CACN_NoCC,1985,XOC,URB,883.3264156804086
SSP2_1000C_CACN_NoCC,1985,CHN,OTH,239998.39534375
SSP2_1000C_CACN_NoCC,1985,CHN,URB,8006.078889526368
SSP2_1000C_CACN_NoCC,1985,IND,OTH,13430.3702109375
SSP2_1000C_CACN_NoCC,1985,IND,URB,3026.2728974914553
SSP2_1000C_CACN_NoCC,1985,JPN,URB,1710.2899680175783
SSP2_1000C_CACN_NoCC,1985,XSE,OTH,14506.901
SSP2_1000C_CACN_NoCC,1985,XSE,URB,3032.1656320037837
SSP2_1000C_CACN_NoCC,1985,XSA,OTH,44675.7545
SSP2_1000C_CACN_NoCC,1985,XSA,URB,866.7895990753174
SSP2_1000C_CACN_NoCC,1985,CAN,OTH,283585.656
SSP2_1000C_CACN_NoCC,1985,CAN,URB,785.9824775390625
SSP2_1000C_CACN_NoCC,1985,BRA,URB,3742.538360931397
SSP2_1000C_CACN_NoCC,1985,XLM,OTH,72183.21731250001
SSP2_1000C_CACN_NoCC,1985,XLM,URB,4894.335314867021
SSP2_1000C_CACN_NoCC,1985,CIS,OTH,253974.9918984375
SSP2_1000C_CACN_NoCC,1985,CIS,URB,5880.5270887603765
SSP2_1000C_CACN_NoCC,1985,XME,OTH,281021.7655625
SSP2_1000C_CACN_NoCC,1985,XME,URB,2128.071955810547
SSP2_1000C_CACN_NoCC,1985,XNF,OTH,456890.6350624999
SSP2_1000C_CACN_NoCC,1985,XNF,URB,927.4797019042969
SSP2_1000C_CACN_NoCC,1985,XAF,OTH,399410.63371875
SSP2_1000C_CACN_NoCC,1985,XAF,URB,2896.931178625107
SSP2_1000C_CACN_NoCC,1985,ASIA2,OTH,312611.42105468747
SSP2_1000C_CACN_NoCC,1985,ASIA2,URB,16641.596986114502
SSP2_1000C_CACN_NoCC,1985,World,OTH,2111196.772609375
SSP2_1000C_CACN_NoCC,1985,World,URB,61494.25336591386
SSP2_1000C_CACN_NoCC,1985,Non-OECD,OTH,1776092.664609375
SSP2_1000C_CACN_NoCC,1985,Non-OECD,URB,35401.19061899567
SSP2_1000C_CACN_NoCC,1985,Industrial,OTH,321872.108
SSP2_1000C_CACN_NoCC,1985,Industrial,URB,24181.440413742544
SSP2_1000C_CACN_NoCC,1985,Transition,OTH,520635.75745312497
SSP2_1000C_CACN_NoCC,1985,Transition,URB,22567.039569885255
SSP2_1000C_CACN_NoCC,1985,Developing,OTH,1268688.90715625
SSP2_1000C_CACN_NoCC,1985,Developing,URB,14745.773382286072
SSP2_1000C_CACN_NoCC,1985,R5ASIA,OTH,312611.42105468747
SSP2_1000C_CACN_NoCC,1985,R5ASIA,URB,14931.307018096923
SSP2_1000C_CACN_NoCC,1985,R5OECD90+EU,OTH,335104.108
SSP2_1000C_CACN_NoCC,1985,R5OECD90+EU,URB,26093.062746918204
SSP2_1000C_CACN_NoCC,1985,R5REF,OTH,253974.9918984375
SSP2_1000C_CACN_NoCC,1985,R5REF,URB,5880.5270887603765
SSP2_1000C_CACN_NoCC,1985,R5MAF,OTH,1137323.0343437498
SSP2_1000C_CACN_NoCC,1985,R5MAF,URB,5952.48283633995
SSP2_1000C_CACN_NoCC,1985,R5LAM,OTH,72183.21731250001
SSP2_1000C_CACN_NoCC,1985,R5LAM,URB,8636.873675798419
SSP2_1000C_CACN_NoCC,1990,USA,OTH,33613.452
SSP2_1000C_CACN_NoCC,1990,USA,URB,11695.345311309815
SSP2_1000C_CACN_NoCC,1990,XE25,OTH,3206.0
SSP2_1000C_CACN_NoCC,1990,XE25,URB,9106.496241195679
SSP2_1000C_CACN_NoCC,1990,XER,OTH,13232.0
SSP2_1000C_CACN_NoCC,1990,XER,URB,1090.242361709595
SSP2_1000C_CACN_NoCC,1990,TUR,URB,821.3799714660644
SSP2_1000C_CACN_NoCC,1990,XOC,OTH,1467.0
SSP2_1000C_CACN_NoCC,1990,XOC,URB,883.3264156804086
SSP2_1000C_CACN_NoCC,1990,CHN,OTH,239998.39534375
SSP2_1000C_CACN_NoCC,1990,CHN,URB,8006.078889526368
SSP2_1000C_CACN_NoCC,1990,IND,OTH,13430.3702109375
SSP2_1000C_CACN_NoCC,1990,IND,URB,3026.2728974914553
SSP2_1000C_CACN_NoCC,1990,JPN,URB,1710.2899680175783
SSP2_1000C_CACN_NoCC,1990,XSE,OTH,14506.901
SSP2_1000C_CACN_NoCC,1990,XSE,URB,3032.1656320037837
SSP2_1000C_CACN_NoCC,1990,XSA,OTH,44675.7545
SSP2_1000C_CACN_NoCC,1990,XSA,URB,866.7895990753174
SSP2_1000C_CACN_NoCC,1990,CAN,OTH,283585.656
SSP2_1000C_CACN_NoCC,1990,CAN,URB,785.9824775390625
SSP2_1000C_CACN_NoCC,1990,BRA,URB,3742.538360931397
SSP2_1000C_CACN_NoCC,1990,XLM,OTH,72183.21731250001
SSP2_1000C_CACN_NoCC,1990,XLM,URB,4894.335314867021
SSP2_1000C_CACN_NoCC,1990,CIS,OTH,253974.9918984375
SSP2_1000C_CACN_NoCC,1990,CIS,URB,5880.5270887603765
SSP2_1000C_CACN_NoCC,1990,XME,OTH,281021.7655625
SSP2_1000C_CACN_NoCC,1990,XME,URB,2128.071955810547
SSP2_1000C_CACN_NoCC,1990,XNF,OTH,456890.6350624999
SSP2_1000C_CACN_NoCC,1990,XNF,URB,927.4797019042969
SSP2_1000C_CACN_NoCC,1990,XAF,OTH,399410.63371875
SSP2_1000C_CACN_NoCC,1990,XAF,URB,2896.931178625107
SSP2_1000C_CACN_NoCC,1990,ASIA2,OTH,312611.42105468747
SSP2_1000C_CACN_NoCC,1990,ASIA2,URB,16641.596986114502
SSP2_1000C_CACN_NoCC,1990,World,OTH,2111196.772609375
SSP2_1000C_CACN_NoCC,1990,World,URB,61494.25336591386
SSP2_1000C_CACN_NoCC,1990,Non-OECD,OTH,1776092.664609375
SSP2_1000C_CACN_NoCC,1990,Non-OECD,URB,35401.19061899567
SSP2_1000C_CACN_NoCC,1990,Industrial,OTH,321872.108
SSP2_1000C_CACN_NoCC,1990,Industrial,URB,24181.440413742544
SSP2_1000C_CACN_NoCC,1990,Transition,OTH,520635.75745312497
SSP2_1000C_CACN_NoCC,1990,Transition,URB,22567.039569885255
SSP2_1000C_CACN_NoCC,1990,Developing,OTH,1268688.90715625
SSP2_1000C_CACN_NoCC,1990,Developing,URB,14745.773382286072
SSP2_1000C_CACN_NoCC,1990,R5ASIA,OTH,312611.42105468747
SSP2_1000C_CACN_NoCC,1990,R5ASIA,URB,14931.307018096923
SSP2_1000C_CACN_NoCC,1990,R5OECD90+EU,OTH,335104.108
SSP2_1000C_CACN_NoCC,1990,R5OECD90+EU,URB,26093.062746918204
SSP2_1000C_CACN_NoCC,1990,R5REF,OTH,253974.9918984375
SSP2_1000C_CACN_NoCC,1990,R5REF,URB,5880.5270887603765
SSP2_1000C_CACN_NoCC,1990,R5MAF,OTH,1137323.0343437498
SSP2_1000C_CACN_NoCC,1990,R5MAF,URB,5952.48283633995
SSP2_1000C_CACN_NoCC,1990,R5LAM,OTH,72183.21731250001
SSP2_1000C_CACN_NoCC,1990,R5LAM,URB,8636.873675798419
SSP2_1000C_CACN_NoCC,1995,USA,OTH,33613.452
SSP2_1000C_CACN_NoCC,1995,USA,URB,11695.345311309815
SSP2_1000C_CACN_NoCC,1995,XE25,OTH,3206.0
SSP2_1000C_CACN_NoCC,1995,XE25,URB,9106.496241195679
SSP2_1000C_CACN_NoCC,1995,XER,OTH,13232.0
SSP2_1000C_CACN_NoCC,1995,XER,URB,1090.242361709595
SSP2_1000C_CACN_NoCC,1995,TUR,URB,821.3799714660644
SSP2_1000C_CACN_NoCC,1995,XOC,OTH,1467.0
SSP2_1000C_CACN_NoCC,1995,XOC,URB,883.3264156804086
SSP2_1000C_CACN_NoCC,1995,CHN,OTH,239998.39534375
SSP2_1000C_CACN_NoCC,1995,CHN,URB,8006.078889526368
SSP2_1000C_CACN_NoCC,1995,IND,OTH,13430.3702109375
SSP2_1000C_CACN_NoCC,1995,IND,URB,3026.2728974914553
