scenario,basin,type,year,value
SSP2_500C_NoCC,AFG_AMDA,CL,2045,5604.742533076541
SSP2_500C_NoCC,AFG_AMDA,CL,2050,5856.918280504901
SSP2_500C_NoCC,AFG_AMDA,CL,2060,7434.497785538721
SSP2_500C_NoCC,AFG_AMDA,CL,2070,6605.677727986625
SSP2_500C_NoCC,AFG_AMDA,CL,2080,6646.366824471297
SSP2_500C_NoCC,AFG_AMDA,CL,2090,7304.773485343913
SSP2_500C_NoCC,AFG_AMDA,CL,2100,8105.173720837149
SSP2_500C_NoCC,AFG_AMDA,CROP_FLW,2005,1702.6774852356398
SSP2_500C_NoCC,AFG_AMDA,CROP_FLW,2010,1661.0736009810132
SSP2_500C_NoCC,AFG_AMDA,CROP_FLW,2015,1698.8252712897308
SSP2_500C_NoCC,AFG_AMDA,CROP_FLW,2020,1606.9994910598034
SSP2_500C_NoCC,AFG_AMDA,CROP_FLW,2025,2158.206394010554
SSP2_500C_NoCC,AFG_AMDA,CROP_FLW,2030,2400.375408182201
SSP2_500C_NoCC,AFG_AMDA,CROP_FLW,2035,2555.1943438975222
SSP2_500C_NoCC,AFG_AMDA,CROP_FLW,2040,2621.1258028777943
SSP2_500C_NoCC,AFG_AMDA,CROP_FLW,2045,2601.434512792872
SSP2_500C_NoCC,AFG_AMDA,CROP_FLW,2050,2562.69615179595
SSP2_500C_NoCC,AFG_AMDA,CROP_FLW,2060,2576.6663132920894
SSP2_500C_NoCC,AFG_AMDA,CROP_FLW,2070,2305.7510959646183
SSP2_500C_NoCC,AFG_AMDA,CROP_FLW,2080,2235.229323864694
SSP2_500C_NoCC,AFG_AMDA,CROP_FLW,2090,2413.1657381764685
SSP2_500C_NoCC,AFG_AMDA,CROP_FLW,2100,2600.662140506032
SSP2_500C_NoCC,AFG_AMDA,GL,2005,12321.83701352501
SSP2_500C_NoCC,AFG_AMDA,GL,2010,5390.682994260156
SSP2_500C_NoCC,AFG_AMDA,GL,2015,5381.947354101308
SSP2_500C_NoCC,AFG_AMDA,GL,2020,5050.549794118223
SSP2_500C_NoCC,AFG_AMDA,GL,2025,6978.951836343895
SSP2_500C_NoCC,AFG_AMDA,GL,2030,7634.551112302317
SSP2_500C_NoCC,AFG_AMDA,GL,2035,7961.472240432932
SSP2_500C_NoCC,AFG_AMDA,GL,2040,7880.355209235336
SSP2_500C_NoCC,AFG_AMDA,GL,2045,7458.7557466353655
SSP2_500C_NoCC,AFG_AMDA,GL,2050,6903.374490433378
SSP2_500C_NoCC,AFG_AMDA,GL,2060,5115.499802334954
SSP2_500C_NoCC,AFG_AMDA,GL,2070,4624.378041312424
SSP2_500C_NoCC,AFG_AMDA,GL,2080,4249.63564503691
SSP2_500C_NoCC,AFG_AMDA,GL,2090,4470.631085583218
SSP2_500C_NoCC,AFG_AMDA,GL,2100,4617.436145505526
SSP2_500C_NoCC,AFG_AMDA,GRO,2005,236.4584612040568
SSP2_500C_NoCC,AFG_AMDA,GRO,2010,192.11939802767444
SSP2_500C_NoCC,AFG_AMDA,GRO,2015,219.17037980889907
SSP2_500C_NoCC,AFG_AMDA,GRO,2020,216.92978750721295
SSP2_500C_NoCC,AFG_AMDA,GRO,2025,223.9672347351406
SSP2_500C_NoCC,AFG_AMDA,GRO,2030,222.64367359770677
SSP2_500C_NoCC,AFG_AMDA,GRO,2035,217.26462091519255
SSP2_500C_NoCC,AFG_AMDA,GRO,2040,204.48903339778545
SSP2_500C_NoCC,AFG_AMDA,GRO,2045,201.7709083307294
SSP2_500C_NoCC,AFG_AMDA,GRO,2050,213.83258760285418
SSP2_500C_NoCC,AFG_AMDA,GRO,2060,173.89289935101235
SSP2_500C_NoCC,AFG_AMDA,GRO,2070,170.3749634111376
SSP2_500C_NoCC,AFG_AMDA,GRO,2080,174.02238022811042
SSP2_500C_NoCC,AFG_AMDA,GRO,2090,205.06885457058348
SSP2_500C_NoCC,AFG_AMDA,GRO,2100,233.22260619637993
SSP2_500C_NoCC,AFG_AMDA,OL,2005,313.3236054385085
SSP2_500C_NoCC,AFG_AMDA,OL,2010,313.3236054385085
SSP2_500C_NoCC,AFG_AMDA,OL,2015,313.3236054385085
SSP2_500C_NoCC,AFG_AMDA,OL,2020,313.3236054385085
SSP2_500C_NoCC,AFG_AMDA,OL,2025,313.3236054385085
SSP2_500C_NoCC,AFG_AMDA,OL,2030,313.3236054385085
SSP2_500C_NoCC,AFG_AMDA,OL,2035,313.3236054385085
SSP2_500C_NoCC,AFG_AMDA,OL,2040,313.3236054385085
SSP2_500C_NoCC,AFG_AMDA,OL,2045,313.3236054385085
SSP2_500C_NoCC,AFG_AMDA,OL,2050,313.3236054385085
SSP2_500C_NoCC,AFG_AMDA,OL,2060,313.3236054385085
SSP2_500C_NoCC,AFG_AMDA,OL,2070,313.3236054385085
SSP2_500C_NoCC,AFG_AMDA,OL,2080,313.3236054385085
SSP2_500C_NoCC,AFG_AMDA,OL,2090,313.3236054385085
SSP2_500C_NoCC,AFG_AMDA,OL,2100,313.3236054385085
SSP2_500C_NoCC,AFG_AMDA,OTH_A,2005,107.64850706093176
SSP2_500C_NoCC,AFG_AMDA,OTH_A,2010,127.43855096564629
SSP2_500C_NoCC,AFG_AMDA,OTH_A,2015,168.43750439422004
SSP2_500C_NoCC,AFG_AMDA,OTH_A,2020,165.41503117162495
