year,scope,region,mode,moran_I
2100,regional,CIS,region,0.111
2100,regional,IND,region,0.307
2100,regional,JPN,region,0.336
2100,regional,TUR,region,0.34
2100,regional,USA,region,0.167
2100,regional,XAF,region,0.38
2100,regional,XE25,region,0.262
2100,regional,XER,region,0.18
2100,regional,XLM,region,0.5
2100,regional,XME,region,0.547
2100,regional,XNF,region,0.192
2100,regional,XOC,region,0.485
2100,regional,XSA,region,0.05
2100,regional,XSE,region,0.077
2010,regional,BRA,basin,0.493
2010,regional,CAN,basin,0.738
2010,regional,CHN,basin,0.473
2010,regional,CIS,basin,0.489
2010,regional,IND,basin,0.395
2010,regional,JPN,basin,0.39
2010,regional,TUR,basin,0.473
2010,regional,USA,basin,0.594
2010,regional,XAF,basin,0.368
2010,regional,XE25,basin,0.315
2010,regional,XER,basin,0.374
2010,regional,XLM,basin,0.506
2010,regional,XME,basin,0.225
2010,regional,XNF,basin,0.251
2010,regional,XOC,basin,0.337
2010,regional,XSA,basin,0.775
2010,regional,XSE,basin,0.296
2020,regional,BRA,basin,0.44
2020,regional,CAN,basin,0.503
2020,regional,CHN,basin,0.507
2020,regional,CIS,basin,0.479
2020,regional,IND,basin,0.401
2020,regional,JPN,basin,0.513
2020,regional,TUR,basin,0.43
2020,regional,USA,basin,0.393
2020,regional,XAF,basin,0.455
2020,regional,XE25,basin,0.314
2020,regional,XER,basin,0.525
2020,regional,XLM,basin,0.426
2020,regional,XME,basin,0.386
2020,regional,XNF,basin,0.351
2020,regional,XOC,basin,0.483
2020,regional,XSA,basin,0.352
2020,regional,XSE,basin,0.291
2030,regional,BRA,basin,0.325
2030,regional,CAN,basin,0.478
2030,regional,CHN,basin,0.395
2030,regional,CIS,basin,0.359
2030,regional,IND,basin,0.304
2030,regional,JPN,basin,0.354
2030,regional,TUR,basin,0.372
2030,regional,USA,basin,0.575
2030,regional,XAF,basin,0.59
2030,regional,XE25,basin,0.432
2030,regional,XER,basin,0.25
2030,regional,XLM,basin,0.572
2030,regional,XME,basin,0.222
2030,regional,XNF,basin,0.452
2030,regional,XOC,basin,0.462
2030,regional,XSA,basin,0.402
2030,regional,XSE,basin,0.244
2040,regional,BRA,basin,0.362
2040,regional,CAN,basin,0.267
2040,regional,CHN,basin,0.454
2040,regional,CIS,basin,0.365
2040,regional,IND,basin,0.294
2040,regional,JPN,basin,0.348
2040,regional,TUR,basin,0.116
2040,regional,USA,basin,0.458
2040,regional,XAF,basin,0.645
2040,regional,XE25,basin,0.265
2040,regional,XER,basin,0.27
2040,regional,XLM,basin,0.406
2040,regional,XME,basin,0.398
2040,regional,XNF,basin,0.203
2040,regional,XOC,basin,0.579
2040,regional,XSA,basin,0.521
2040,regional,XSE,basin,0.278
2050,regional,BRA,basin,0.252
2050,regional,CAN,basin,0.23
2050,regional,CHN,basin,0.467
2050,regional,CIS,basin,0.325
2050,regional,IND,basin,0.195
2050,regional,JPN,basin,0.134
2050,regional,TUR,basin,0.395
2050,regional,USA,basin,0.468
2050,regional,XAF,basin,0.566
2050,regional,XE25,basin,0.216
2050,regional,XER,basin,0.271
2050,regional,XLM,basin,0.363
2050,regional,XME,basin,0.264
2050,regional,XNF,basin,0.184
2050,regional,XOC,basin,0.517
2050,regional,XSA,basin,0.475
2050,regional,XSE,basin,0.235
2060,regional,BRA,basin,0.382
2060,regional,CAN,basin,0.279
2060,regional,CHN,basin,0.457
2060,regional,CIS,basin,0.374
2060,regional,IND,basin,0.233
2060,regional,JPN,basin,0.233
2060,regional,TUR,basin,0.217
2060,regional,USA,basin,0.549
2060,regional,XAF,basin,0.492
2060,regional,XE25,basin,0.202
2060,regional,XER,basin,0.317
2060,regional,XLM,basin,0.269
2060,regional,XME,basin,0.363
2060,regional,XNF,basin,0.314
2060,regional,XOC,basin,0.473
2060,regional,XSA,basin,0.427
2060,regional,XSE,basin,0.321
2070,regional,BRA,basin,0.39
2070,regional,CAN,basin,0.221
2070,regional,CHN,basin,0.43
2070,regional,CIS,basin,0.493
2070,regional,IND,basin,0.221
2070,regional,JPN,basin,0.249
2070,regional,TUR,basin,0.337
2070,regional,USA,basin,0.695
2070,regional,XAF,basin,0.419
2070,regional,XE25,basin,0.201
2070,regional,XER,basin,0.202
2070,regional,XLM,basin,0.327
2070,regional,XME,basin,0.25
2070,regional,XNF,basin,0.22
2070,regional,XOC,basin,0.576
2070,regional,XSA,basin,0.469
2070,regional,XSE,basin,0.224
2080,regional,BRA,basin,0.431
2080,regional,CAN,basin,0.186
2080,regional,CHN,basin,0.492
2080,regional,CIS,basin,0.521
2080,regional,IND,basin,0.158
2080,regional,JPN,basin,0.291
2080,regional,TUR,basin,0.346
2080,regional,USA,basin,0.555
2080,regional,XAF,basin,0.404
2080,regional,XE25,basin,0.307
2080,regional,XER,basin,0.167
2080,regional,XLM,basin,0.442
2080,regional,XME,basin,0.299
2080,regional,XNF,basin,0.355
2080,regional,XOC,basin,0.499
2080,regional,XSA,basin,0.353
2080,regional,XSE,basin,0.2
2090,regional,BRA,basin,0.441
2090,regional,CAN,basin,0.105
2090,regional,CHN,basin,0.447
2090,regional,CIS,basin,0.464
2090,regional,IND,basin,0.12
2090,regional,JPN,basin,0.297
2090,regional,TUR,basin,0.298
2090,regional,USA,basin,0.403
2090,regional,XAF,basin,0.417
2090,regional,XE25,basin,0.323
2090,regional,XER,basin,0.221
2090,regional,XLM,basin,0.452
2090,regional,XME,basin,0.252
2090,regional,XNF,basin,0.292
2090,regional,XOC,basin,0.402
2090,regional,XSA,basin,0.399
2090,regional,XSE,basin,0.307
2100,regional,BRA,basin,0.38
2100,regional,CAN,basin,0.084
2100,regional,CHN,basin,0.578
2100,regional,CIS,basin,0.377
2100,regional,IND,basin,0.246
2100,regional,JPN,basin,0.336
2100,regional,TUR,basin,0.324
2100,regional,USA,basin,0.215
2100,regional,XAF,basin,0.392
2100,regional,XE25,basin,0.281
2100,regional,XER,basin,0.274
2100,regional,XLM,basin,0.306
2100,regional,XME,basin,0.266
2100,regional,XNF,basin,0.235
2100,regional,XOC,basin,0.319
2100,regional,XSA,basin,0.3
2100,regional,XSE,basin,0.428
