year,scope,region,mode,kurtosis
2100,regional,TUR,region,5.741
2100,regional,USA,region,38.761
2100,regional,XAF,region,24.4
2100,regional,XE25,region,45.112
2100,regional,XER,region,8.38
2100,regional,XLM,region,0.722
2100,regional,XME,region,1.97
2100,regional,XNF,region,2.005
2100,regional,XOC,region,
2100,regional,XSA,region,2.339
2100,regional,XSE,region,37.024
2010,regional,BRA,basin,3.618
2010,regional,CAN,basin,2.491
2010,regional,CHN,basin,-0.009
2010,regional,CIS,basin,2.293
2010,regional,IND,basin,2.13
2010,regional,JPN,basin,
2010,regional,TUR,basin,1.856
2010,regional,USA,basin,8.39
2010,regional,XAF,basin,12.215
2010,regional,XE25,basin,5.585
2010,regional,XER,basin,1.682
2010,regional,XLM,basin,5.506
2010,regional,XME,basin,0.434
2010,regional,XNF,basin,40.568
2010,regional,XOC,basin,
2010,regional,XSA,basin,5.368
2010,regional,XSE,basin,0.449
2020,regional,BRA,basin,6.263
2020,regional,CAN,basin,16.951
2020,regional,CHN,basin,0.385
2020,regional,CIS,basin,5.315
2020,regional,IND,basin,4.669
2020,regional,JPN,basin,
2020,regional,TUR,basin,23.218
2020,regional,USA,basin,21.238
2020,regional,XAF,basin,11.915
2020,regional,XE25,basin,8.608
2020,regional,XER,basin,1.153
2020,regional,XLM,basin,-1.966
2020,regional,XME,basin,1.213
2020,regional,XNF,basin,80.036
2020,regional,XOC,basin,
2020,regional,XSA,basin,-0.425
2020,regional,XSE,basin,3.702
2030,regional,BRA,basin,23.801
2030,regional,CAN,basin,5.639
2030,regional,CHN,basin,-1.504
2030,regional,CIS,basin,30.705
2030,regional,IND,basin,2.566
2030,regional,JPN,basin,
2030,regional,TUR,basin,0.088
2030,regional,USA,basin,1.266
2030,regional,XAF,basin,12.208
2030,regional,XE25,basin,12.333
2030,regional,XER,basin,3.713
2030,regional,XLM,basin,0.722
2030,regional,XME,basin,-0.204
2030,regional,XNF,basin,21.53
2030,regional,XOC,basin,
2030,regional,XSA,basin,-0.46
2030,regional,XSE,basin,-1.438
2040,regional,BRA,basin,15.862
2040,regional,CAN,basin,42.136
2040,regional,CHN,basin,-0.673
2040,regional,CIS,basin,34.562
2040,regional,IND,basin,1.372
2040,regional,JPN,basin,
2040,regional,TUR,basin,7.192
2040,regional,USA,basin,4.83
2040,regional,XAF,basin,5.257
2040,regional,XE25,basin,30.325
2040,regional,XER,basin,24.278
2040,regional,XLM,basin,6.045
2040,regional,XME,basin,-1.104
2040,regional,XNF,basin,12.455
2040,regional,XOC,basin,
2040,regional,XSA,basin,11.687
2040,regional,XSE,basin,3.525
2050,regional,BRA,basin,19.93
2050,regional,CAN,basin,23.073
2050,regional,CHN,basin,-1.73
2050,regional,CIS,basin,31.481
2050,regional,IND,basin,9.417
2050,regional,JPN,basin,
2050,regional,TUR,basin,-0.956
2050,regional,USA,basin,3.453
2050,regional,XAF,basin,9.07
2050,regional,XE25,basin,11.067
2050,regional,XER,basin,11.535
2050,regional,XLM,basin,2.915
2050,regional,XME,basin,5.793
2050,regional,XNF,basin,23.928
2050,regional,XOC,basin,
2050,regional,XSA,basin,11.653
2050,regional,XSE,basin,9.203
2060,regional,BRA,basin,27.479
2060,regional,CAN,basin,24.843
2060,regional,CHN,basin,-0.186
2060,regional,CIS,basin,49.134
2060,regional,IND,basin,7.0
2060,regional,JPN,basin,
2060,regional,TUR,basin,-0.861
2060,regional,USA,basin,3.672
2060,regional,XAF,basin,12.63
2060,regional,XE25,basin,9.373
2060,regional,XER,basin,7.674
2060,regional,XLM,basin,-0.356
2060,regional,XME,basin,-0.779
2060,regional,XNF,basin,11.817
2060,regional,XOC,basin,
2060,regional,XSA,basin,-0.512
2060,regional,XSE,basin,-1.842
2070,regional,BRA,basin,13.13
2070,regional,CAN,basin,34.324
2070,regional,CHN,basin,-0.283
2070,regional,CIS,basin,44.362
2070,regional,IND,basin,6.681
2070,regional,JPN,basin,
2070,regional,TUR,basin,-0.391
2070,regional,USA,basin,1.239
2070,regional,XAF,basin,19.582
2070,regional,XE25,basin,14.909
2070,regional,XER,basin,7.841
2070,regional,XLM,basin,6.07
2070,regional,XME,basin,-0.796
2070,regional,XNF,basin,59.357
2070,regional,XOC,basin,
2070,regional,XSA,basin,0.151
2070,regional,XSE,basin,36.807
2080,regional,BRA,basin,9.057
2080,regional,CAN,basin,32.927
2080,regional,CHN,basin,-1.831
2080,regional,CIS,basin,30.001
2080,regional,IND,basin,9.433
2080,regional,JPN,basin,
2080,regional,TUR,basin,56.793
2080,regional,USA,basin,3.889
2080,regional,XAF,basin,16.116
2080,regional,XE25,basin,24.049
2080,regional,XER,basin,18.317
2080,regional,XLM,basin,4.953
2080,regional,XME,basin,-0.873
2080,regional,XNF,basin,81.695
2080,regional,XOC,basin,
2080,regional,XSA,basin,-1.059
2080,regional,XSE,basin,5.011
2090,regional,BRA,basin,6.395
2090,regional,CAN,basin,31.939
2090,regional,CHN,basin,-0.499
2090,regional,CIS,basin,25.154
2090,regional,IND,basin,15.61
2090,regional,JPN,basin,
2090,regional,TUR,basin,48.141
2090,regional,USA,basin,12.927
2090,regional,XAF,basin,11.261
2090,regional,XE25,basin,26.222
2090,regional,XER,basin,9.464
2090,regional,XLM,basin,-1.95
2090,regional,XME,basin,7.549
2090,regional,XNF,basin,69.678
2090,regional,XOC,basin,
2090,regional,XSA,basin,4.527
